,NAME,G,GS,MP,FG,FGA,FG_pct,P3,PA3,P3_pct,P2,PA2,P2_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,futPTS
288,J.R. Giddens,19.666666666666668,0.6666666666666666,4.5,0.5333333333333333,1.1333333333333333,0.521,0.0,0.13333333333333333,0.0,0.5333333333333333,1.0,0.5670000000000001,0.521,0.2333333333333333,0.4333333333333333,0.355,0.3333333333333333,0.7000000000000001,1.0333333333333334,0.2333333333333333,0.2333333333333333,0.03333333333333333,0.3333333333333333,0.5333333333333333,1.3333333333333333,1.3666666666666665
289,Kendall Gill,76.66666666666667,60.66666666666666,31.9,6.566666666666666,14.433333333333332,0.4553333333333334,0.10000000000000002,0.4666666666666666,0.21899999999999997,6.5,13.933333333333332,0.462,0.45899999999999996,2.9,3.733333333333333,0.7840000000000001,1.7000000000000002,2.7000000000000006,4.4,3.9333333333333336,1.5333333333333332,0.5333333333333333,2.2666666666666666,2.7,16.133333333333333,4.7
290,Armen Gilliam,68.33333333333333,59.66666666666666,31.133333333333336,6.3,12.7,0.4976666666666666,0.0,0.0,0.0,6.3,12.666666666666664,0.498,0.4976666666666666,3.2,4.466666666666667,0.715,2.4666666666666663,5.233333333333333,7.7,1.1,0.9,0.5333333333333333,2.1666666666666665,2.6,15.800000000000002,2.966666666666667
291,Gordan Giricek,50.66666666666666,41.333333333333336,29.366666666666664,4.7,10.8,0.4363333333333333,1.1333333333333333,3.466666666666667,0.341,3.5666666666666664,7.333333333333332,0.482,0.49,2.033333333333333,2.4666666666666663,0.8193333333333332,0.5333333333333333,2.8666666666666667,3.3666666666666667,1.9,0.7333333333333334,0.10000000000000002,1.9,2.066666666666667,12.6,3.766666666666667
292,Mickell Gladness,17.333333333333332,4.666666666666667,8.533333333333333,0.8000000000000002,1.9333333333333331,0.3953333333333333,0.0,0.0,0.0,0.8000000000000002,1.9333333333333331,0.3953333333333333,0.3953333333333333,0.16666666666666666,0.4,0.3333333333333333,0.4333333333333333,1.6333333333333335,2.066666666666667,0.2333333333333333,0.16666666666666666,0.6666666666666666,0.3,1.1666666666666667,1.8333333333333333,0.0
293,Gerald Glass,62.0,16.333333333333332,16.76666666666667,3.466666666666667,8.0,0.4323333333333333,0.10000000000000002,0.5333333333333333,0.20866666666666667,3.3666666666666667,7.433333333333333,0.4483333333333333,0.43966666666666665,0.7999999999999999,1.3,0.647,1.1666666666666667,1.4333333333333331,2.6333333333333333,1.4666666666666666,0.6666666666666666,0.30000000000000004,0.9333333333333336,1.8333333333333333,7.899999999999999,1.6666666666666667
294,Dion Glover,47.33333333333334,11.0,17.400000000000002,2.733333333333333,6.633333333333334,0.409,0.3666666666666667,1.3333333333333333,0.26433333333333336,2.333333333333333,5.3,0.4426666666666667,0.436,1.3,1.8,0.7223333333333334,0.6333333333333333,1.6000000000000003,2.233333333333333,1.2,0.7333333333333334,0.20000000000000004,1.0666666666666669,1.3666666666666665,7.1000000000000005,3.233333333333333
295,Mike Gminski,66.66666666666667,2.333333333333333,18.5,3.266666666666667,7.2666666666666675,0.4546666666666666,0.0,0.0,0.0,3.266666666666667,7.2666666666666675,0.4553333333333334,0.4546666666666666,2.1666666666666665,2.733333333333333,0.789,1.8,3.233333333333333,5.066666666666666,0.9,0.5666666666666668,1.3666666666666665,1.6,1.6333333333333335,8.633333333333333,2.533333333333333
296,Anthony Goldwire,45.0,15.666666666666664,17.366666666666667,1.9666666666666668,4.9,0.40066666666666667,1.0,2.3666666666666667,0.4183333333333334,0.9666666666666668,2.566666666666667,0.382,0.5006666666666667,1.0,1.3,0.7663333333333333,0.16666666666666666,1.0333333333333334,1.2,3.0666666666666664,0.5333333333333333,0.0,1.3333333333333333,1.7999999999999998,5.933333333333334,2.433333333333333
297,Ryan Gomes,72.0,55.66666666666666,27.83333333333333,4.066666666666666,8.733333333333333,0.4703333333333333,0.3,0.9666666666666668,0.34800000000000003,3.766666666666667,7.7666666666666675,0.485,0.4876666666666667,2.2333333333333334,2.7999999999999994,0.7976666666666667,1.6666666666666667,3.766666666666667,5.433333333333334,1.4666666666666668,0.6999999999999998,0.13333333333333333,1.1666666666666667,1.8666666666666665,10.766666666666666,4.433333333333334
298,Drew Gooden,46.66666666666666,31.33333333333333,27.16666666666667,5.133333333333333,11.0,0.466,0.16666666666666666,0.5666666666666668,0.19866666666666666,4.966666666666668,10.433333333333334,0.4753333333333334,0.473,2.3666666666666667,3.266666666666667,0.7156666666666666,2.5,4.433333333333334,6.900000000000001,1.1666666666666667,0.7666666666666666,0.5333333333333333,2.2,2.5333333333333337,12.733333333333334,3.8666666666666663
299,Ben Gordon,81.33333333333333,33.666666666666664,29.46666666666667,6.266666666666668,14.533333333333333,0.4293333333333333,1.8666666666666665,4.466666666666667,0.4176666666666667,4.4,10.033333333333333,0.4336666666666665,0.4936666666666666,3.333333333333333,4.033333333333333,0.838,0.5333333333333333,2.3000000000000003,2.8000000000000003,2.8666666666666667,0.7666666666666666,0.13333333333333333,2.533333333333333,2.9333333333333336,17.8,6.2
300,Lancaster Gordon,64.33333333333333,2.0,12.866666666666667,2.3666666666666667,6.066666666666666,0.38866666666666666,0.10000000000000002,0.4333333333333333,0.25466666666666665,2.2666666666666666,5.599999999999999,0.3973333333333333,0.3973333333333333,0.7999999999999999,1.0333333333333334,0.7653333333333334,0.5666666666666668,0.7333333333333333,1.3,1.4666666666666668,0.6666666666666666,0.16666666666666666,1.2,1.3333333333333333,5.6000000000000005,1.1666666666666667
301,Greg Graham,57.66666666666666,6.0,13.266666666666666,1.7,4.166666666666667,0.41,0.2333333333333333,0.8333333333333334,0.228,1.4666666666666668,3.333333333333333,0.433,0.4430000000000001,1.1333333333333335,1.4666666666666668,0.7846666666666667,0.3333333333333333,0.8666666666666667,1.1666666666666667,1.0666666666666669,0.6666666666666666,0.06666666666666668,0.9333333333333332,1.1666666666666667,4.766666666666667,2.333333333333333
302,Joey Graham,65.66666666666667,16.0,15.066666666666668,2.066666666666667,4.366666666666667,0.469,0.2,0.5333333333333333,0.43,1.866666666666667,3.8333333333333335,0.4856666666666667,0.487,1.2666666666666666,1.5333333333333332,0.8320000000000001,0.6333333333333333,2.0,2.6666666666666665,0.6,0.3333333333333333,0.10000000000000002,0.7999999999999999,2.0333333333333337,5.566666666666667,2.566666666666667
303,Paul Graham,59.66666666666666,6.666666666666668,15.666666666666664,2.7,6.133333333333333,0.424,0.43333333333333335,1.4,0.3063333333333333,2.266666666666667,4.733333333333333,0.4606666666666667,0.4593333333333334,1.1333333333333333,1.5333333333333334,0.7463333333333333,0.6333333333333334,1.3333333333333333,2.0,1.6333333333333335,0.8333333333333334,0.20000000000000004,0.9666666666666668,1.7666666666666666,7.0,0.0
